id,language,gender_context,category,student_statement,advisor_reply
1607,RomanUrdu,Neutral,Mental Health,Anxiety attacks ki wajah se studies disturb ho rahi hain,Semester freeze le kar mental health improve karein
1608,English,Male,Medical Issues,I had surgery and doctor ne complete rest kaha hai,Doctor certificate ke saath semester freeze le sakte hain
1609,RomanUrdu,Male,Academic Issues,DSA is too hard for me and I need a break to improve basics,Semester freeze recommend kiya jata hai taake aap basics strong kar sakein
1610,Mixed,Female,Academic Issues,Credit hours overload ho gaye hain aur handle nahi ho raha. Is liye semester freeze request kar raha/rahi hoon,Semester freeze le kar workload manage karein. Advisor ne recommend kiya hai semester freeze lene ke liye
1611,Mixed,Neutral,Administrative Issues,Timetable clash hai aur meri classes manage nahi ho rahi. Is liye semester freeze request kar raha/rahi hoon,Semester freeze request kar sakte hain jab timetable adjust ho. Advisor ne recommend kiya hai semester freeze lene ke liye
1612,RomanUrdu,Male,Financial Issues,Main temporary full time job kar raha hoon to support family,Semester freeze le kar aap work aur studies dono manage kar sakte hain
1613,English,Male,Medical Issues,Recovery after COVID ki wajah se classes miss ho rahi hain,Semester freeze recommended hai taake aap fully recover kar sakein
1614,English,Female,Gender/Role Specific,Family business sambhalna par raha hai temporarily,Semester freeze le kar aap responsibilities manage kar sakte hain
1615,English,Female,Personal/Family Issues,Hostel band ho gaya aur transport ka issue hai,Semester pause kar sakte hain jab tak facility arrange na ho
1616,RomanUrdu,Neutral,Personal/Family Issues,Hostel band ho gaya aur transport ka issue hai,Semester pause kar sakte hain jab tak facility arrange na ho
1617,RomanUrdu,Female,Financial Issues,Late fee fine lag gaya hai aur arrange nahi ho raha,Late fine waiver ya installment ke liye office se contact karein
1618,English,Female,Medical Issues,Recovery after COVID ki wajah se classes miss ho rahi hain,Semester freeze recommended hai taake aap fully recover kar sakein
1619,English,Female,Medical Issues,Accident hua hai aur physiotherapy chal rahi hai,Recovery ke liye semester freeze recommended hai
1620,Mixed,Neutral,Medical Issues,Chronic pain ki wajah se classes attend nahi ho rahi. Is liye semester freeze request kar raha/rahi hoon,Medical certificate submit karein aur semester freeze request karein. Advisor ne recommend kiya hai semester freeze lene ke liye
1621,RomanUrdu,Neutral,Personal/Family Issues,Ghar walay business sambhalne ko keh rahe hain,Temporary semester freeze le kar responsibilities manage karein
1622,RomanUrdu,Male,Personal/Family Issues,Mother bohat sick hain aur unka khayal rakhna hai,Semester freeze request karein taake aap family care kar sakein
1623,RomanUrdu,Female,Financial Issues,Abbu ki job chali gayi hai is liye semester freeze chahiye,Temporary semester freeze allow ki ja sakti hai financial crisis ke liye
1624,English,Female,Mental Health,Stress ki wajah se exams par focus nahi ho raha,Semester freeze allow hoti hai stress aur burnout ke cases me
1625,Mixed,Male,Gender/Role Specific,Childcare ki wajah se classes attend nahi ho pa rahi. Is liye semester freeze request kar raha/rahi hoon,Semester freeze request karein childcare ke liye. Advisor ne recommend kiya hai semester freeze lene ke liye
1626,Mixed,Female,Medical Issues,Chronic pain ki wajah se classes attend nahi ho rahi. Is liye semester freeze request kar raha/rahi hoon,Medical certificate submit karein aur semester freeze request karein. Advisor ne recommend kiya hai semester freeze lene ke liye
1627,English,Male,Gender/Role Specific,Father hospital mein hain aur mujhe ghar sambhalna hai,Semester pause allow hoti hai family care ke liye
1628,Mixed,Female,Financial Issues,Main temporary full time job kar raha hoon to support family. Is liye semester freeze request kar raha/rahi hoon,Semester freeze le kar aap work aur studies dono manage kar sakte hain. Advisor ne recommend kiya hai semester freeze lene ke liye
1629,English,Male,Local/Other Issues,Transport strike ke wajah se classes attend nahi ho rahi,Semester freeze request karein jab tak transport restore na ho
1630,RomanUrdu,Male,Medical Issues,Chronic pain ki wajah se classes attend nahi ho rahi,Medical certificate submit karein aur semester freeze request karein
1631,RomanUrdu,Neutral,Local/Other Issues,Power outages aur internet disruption ke wajah se classes miss ho rahi hain,Semester pause request submit karein taake classes miss na ho
1632,English,Male,Academic Issues,DSA is too hard for me and I need a break to improve basics,Semester freeze recommend kiya jata hai taake aap basics strong kar sakein
1633,RomanUrdu,Male,Personal/Family Issues,Meri shaadi fix ho gayi hai aur relocation ho rahi hai,Semester freeze allow hoti hai relocation ya marriage ki wajah se
1634,English,Neutral,Local/Other Issues,Protests aur political unrest ki wajah se campus nahi ja sakta,Temporary semester freeze consider karein
1635,English,Neutral,Gender/Role Specific,Family business sambhalna par raha hai temporarily,Semester freeze le kar aap responsibilities manage kar sakte hain
1636,English,Neutral,Gender/Role Specific,Father hospital mein hain aur mujhe ghar sambhalna hai,Semester pause allow hoti hai family care ke liye
1637,RomanUrdu,Neutral,Medical Issues,I had surgery and doctor ne complete rest kaha hai,Doctor certificate ke saath semester freeze le sakte hain
1638,Mixed,Male,Administrative Issues,Timetable clash hai aur meri classes manage nahi ho rahi. Is liye semester freeze request kar raha/rahi hoon,Semester freeze request kar sakte hain jab timetable adjust ho. Advisor ne recommend kiya hai semester freeze lene ke liye
1639,Mixed,Neutral,Academic Issues,Credit hours overload ho gaye hain aur handle nahi ho raha. Is liye semester freeze request kar raha/rahi hoon,Semester freeze le kar workload manage karein. Advisor ne recommend kiya hai semester freeze lene ke liye
1640,English,Male,Medical Issues,Recovery after COVID ki wajah se classes miss ho rahi hain,Semester freeze recommended hai taake aap fully recover kar sakein
1641,RomanUrdu,Male,Gender/Role Specific,Male breadwinner responsibility hai is liye break chahiye,Semester freeze le kar aap family support kar sakte hain
1642,Mixed,Female,Academic Issues,Credit hours overload ho gaye hain aur handle nahi ho raha. Is liye semester freeze request kar raha/rahi hoon,Semester freeze le kar workload manage karein. Advisor ne recommend kiya hai semester freeze lene ke liye
1643,English,Female,Medical Issues,Recovery after COVID ki wajah se classes miss ho rahi hain,Semester freeze recommended hai taake aap fully recover kar sakein
1644,English,Neutral,Local/Other Issues,Lab resource unavailable hai is liye semester freeze request kar raha/rahi hoon,Semester pause consider karein jab tak resources available na ho
1645,English,Female,Local/Other Issues,Competitive coaching ke liye semester pause karna zaroori hai,Semester freeze allow hoti hai professional training ke liye
1646,RomanUrdu,Female,Medical Issues,Major illness ke wajah se semester continue nahi kar sakta,Semester freeze allow ki ja sakti hai illness ke liye
1647,RomanUrdu,Female,Mental Health,Depression ki wajah se classes miss ho rahi hain,Advisor ke saath discuss karein aur semester freeze lein
1648,English,Neutral,Local/Other Issues,Lab resource unavailable hai is liye semester freeze request kar raha/rahi hoon,Semester pause consider karein jab tak resources available na ho
1649,RomanUrdu,Female,Mental Health,Anxiety attacks ki wajah se studies disturb ho rahi hain,Semester freeze le kar mental health improve karein
1650,Mixed,Neutral,Mental Health,Severe burnout ho gaya hai aur focus nahi ban raha. Is liye semester freeze request kar raha/rahi hoon,Semester pause karna aapke liye beneficial hoga. Advisor ne recommend kiya hai semester freeze lene ke liye
1651,English,Male,Medical Issues,Medical condition ki wajah se campus ana possible nahi,Semester freeze submit karen taake aap recovery pe focus karein
1652,Mixed,Female,Personal/Family Issues,Hostel band ho gaya aur transport ka issue hai. Is liye semester freeze request kar raha/rahi hoon,Semester pause kar sakte hain jab tak facility arrange na ho. Advisor ne recommend kiya hai semester freeze lene ke liye
1653,English,Female,Financial Issues,My fee is unpaid and family income suddenly stopped,Aapko fee installment request submit karni chahiye ya temporary semester freeze le sakte hain
1654,RomanUrdu,Female,Academic Issues,"CGPA below average hai, degree complete ho payegi ya nahi samajh nahi aa raha",Semester freeze ke dauran CGPA improve karne ka plan banayein
1655,RomanUrdu,Neutral,Gender/Role Specific,Pregnancy ki wajah se semester continue nahi kar sakti,Semester freeze allow hoti hai maternity reasons me
1656,English,Neutral,Academic Issues,I dropped many courses and now I am confused what to enroll next,Academic advisor se consult karein aur proper enrollment plan banayein
1657,English,Male,Mental Health,Stress ki wajah se exams par focus nahi ho raha,Semester freeze allow hoti hai stress aur burnout ke cases me
1658,Mixed,Female,Personal/Family Issues,Family pressure hai ke main degree chor doon. Is liye semester freeze request kar raha/rahi hoon,Advisor se discuss karein aur semester freeze consider karein. Advisor ne recommend kiya hai semester freeze lene ke liye
1659,English,Neutral,Academic Issues,Basics weak hain is liye advanced courses tough lag rahe hain,Foundation courses complete karne ke baad advance courses enroll karein
1660,RomanUrdu,Female,Personal/Family Issues,Hostel band ho gaya aur transport ka issue hai,Semester pause kar sakte hain jab tak facility arrange na ho
1661,RomanUrdu,Neutral,Medical Issues,Chronic pain ki wajah se classes attend nahi ho rahi,Medical certificate submit karein aur semester freeze request karein
1662,Mixed,Neutral,Administrative Issues,Teacher change request process clear nahi hai. Is liye semester freeze request kar raha/rahi hoon,Advisor se guide lein aur semester pause consider karein. Advisor ne recommend kiya hai semester freeze lene ke liye
1663,Mixed,Female,Gender/Role Specific,Pregnancy ki wajah se semester continue nahi kar sakti. Is liye semester freeze request kar raha/rahi hoon,Semester freeze allow hoti hai maternity reasons me. Advisor ne recommend kiya hai semester freeze lene ke liye
1664,Mixed,Female,Medical Issues,Recovery after COVID ki wajah se classes miss ho rahi hain. Is liye semester freeze request kar raha/rahi hoon,Semester freeze recommended hai taake aap fully recover kar sakein. Advisor ne recommend kiya hai semester freeze lene ke liye
1665,English,Neutral,Academic Issues,Basics weak hain is liye advanced courses tough lag rahe hain,Foundation courses complete karne ke baad advance courses enroll karein
1666,RomanUrdu,Neutral,Medical Issues,Recovery after COVID ki wajah se classes miss ho rahi hain,Semester freeze recommended hai taake aap fully recover kar sakein
1667,Mixed,Male,Local/Other Issues,Competitive coaching ke liye semester pause karna zaroori hai. Is liye semester freeze request kar raha/rahi hoon,Semester freeze allow hoti hai professional training ke liye. Advisor ne recommend kiya hai semester freeze lene ke liye
1668,English,Female,Financial Issues,Late fee fine lag gaya hai aur arrange nahi ho raha,Late fine waiver ya installment ke liye office se contact karein
1669,RomanUrdu,Female,Financial Issues,Abbu ki job chali gayi hai is liye semester freeze chahiye,Temporary semester freeze allow ki ja sakti hai financial crisis ke liye
1670,Mixed,Male,Academic Issues,Basics weak hain is liye advanced courses tough lag rahe hain. Is liye semester freeze request kar raha/rahi hoon,Foundation courses complete karne ke baad advance courses enroll karein. Advisor ne recommend kiya hai semester freeze lene ke liye
1671,English,Male,Local/Other Issues,Competitive coaching ke liye semester pause karna zaroori hai,Semester freeze allow hoti hai professional training ke liye
1672,English,Female,Personal/Family Issues,Family migration ki wajah se semester pause karna hai,Semester freeze allow hoti hai relocation ya migration case me
1673,RomanUrdu,Male,Administrative Issues,Degree extension ka issue hai aur guidance chahiye,Semester freeze ke sath degree extension process initiate karein
1674,Mixed,Female,Gender/Role Specific,Family business sambhalna par raha hai temporarily. Is liye semester freeze request kar raha/rahi hoon,Semester freeze le kar aap responsibilities manage kar sakte hain. Advisor ne recommend kiya hai semester freeze lene ke liye
1675,Mixed,Neutral,Academic Issues,I failed PF and OOP both and I need time to prepare again. Is liye semester freeze request kar raha/rahi hoon,Aap semester freeze le sakte hain aur next semester me core subjects dobara enroll karein. Advisor ne recommend kiya hai semester freeze lene ke liye
1676,RomanUrdu,Female,Gender/Role Specific,Safety issues ki wajah se campus travel possible nahi,Temporary semester freeze request karein safety ke liye
1677,Mixed,Female,Financial Issues,Late fee fine lag gaya hai aur arrange nahi ho raha. Is liye semester freeze request kar raha/rahi hoon,Late fine waiver ya installment ke liye office se contact karein. Advisor ne recommend kiya hai semester freeze lene ke liye
1678,RomanUrdu,Female,Academic Issues,Basics weak hain is liye advanced courses tough lag rahe hain,Foundation courses complete karne ke baad advance courses enroll karein
1679,RomanUrdu,Neutral,Administrative Issues,Mujhe 4pm ke baad class attend karna possible nahi,Semester freeze allow ki ja sakti hai timing issues me
1680,English,Male,Administrative Issues,Mujhe 4pm ke baad class attend karna possible nahi,Semester freeze allow ki ja sakti hai timing issues me
1681,English,Male,Personal/Family Issues,Hostel band ho gaya aur transport ka issue hai,Semester pause kar sakte hain jab tak facility arrange na ho
1682,RomanUrdu,Female,Administrative Issues,Semester freeze policy properly samajh nahi aa rahi,Office se clarify karein aur request submit karein
1683,English,Male,Personal/Family Issues,Family pressure hai ke main degree chor doon,Advisor se discuss karein aur semester freeze consider karein
1684,RomanUrdu,Female,Financial Issues,Abbu ki job chali gayi hai is liye semester freeze chahiye,Temporary semester freeze allow ki ja sakti hai financial crisis ke liye
1685,RomanUrdu,Female,Financial Issues,My fee is unpaid and family income suddenly stopped,Aapko fee installment request submit karni chahiye ya temporary semester freeze le sakte hain
1686,RomanUrdu,Female,Financial Issues,I lost my scholarship and cannot afford this semester,Financial support ke liye advisor ya office se discuss karein
1687,RomanUrdu,Male,Medical Issues,Major illness ke wajah se semester continue nahi kar sakta,Semester freeze allow ki ja sakti hai illness ke liye
1688,Mixed,Female,Administrative Issues,Degree extension ka issue hai aur guidance chahiye. Is liye semester freeze request kar raha/rahi hoon,Semester freeze ke sath degree extension process initiate karein. Advisor ne recommend kiya hai semester freeze lene ke liye
1689,English,Male,Mental Health,Depression ki wajah se classes miss ho rahi hain,Advisor ke saath discuss karein aur semester freeze lein
1690,RomanUrdu,Female,Gender/Role Specific,Family business sambhalna par raha hai temporarily,Semester freeze le kar aap responsibilities manage kar sakte hain
1691,Mixed,Neutral,Medical Issues,Major illness ke wajah se semester continue nahi kar sakta. Is liye semester freeze request kar raha/rahi hoon,Semester freeze allow ki ja sakti hai illness ke liye. Advisor ne recommend kiya hai semester freeze lene ke liye
1692,English,Male,Local/Other Issues,Protests aur political unrest ki wajah se campus nahi ja sakta,Temporary semester freeze consider karein
1693,English,Male,Administrative Issues,Timetable clash hai aur meri classes manage nahi ho rahi,Semester freeze request kar sakte hain jab timetable adjust ho
1694,English,Male,Medical Issues,Major illness ke wajah se semester continue nahi kar sakta,Semester freeze allow ki ja sakti hai illness ke liye
1695,Mixed,Neutral,Medical Issues,Chronic pain ki wajah se classes attend nahi ho rahi. Is liye semester freeze request kar raha/rahi hoon,Medical certificate submit karein aur semester freeze request karein. Advisor ne recommend kiya hai semester freeze lene ke liye
1696,English,Neutral,Local/Other Issues,Power outages aur internet disruption ke wajah se classes miss ho rahi hain,Semester pause request submit karein taake classes miss na ho
1697,English,Female,Local/Other Issues,Protests aur political unrest ki wajah se campus nahi ja sakta,Temporary semester freeze consider karein
1698,RomanUrdu,Male,Local/Other Issues,Power outages aur internet disruption ke wajah se classes miss ho rahi hain,Semester pause request submit karein taake classes miss na ho
1699,RomanUrdu,Female,Medical Issues,I had surgery and doctor ne complete rest kaha hai,Doctor certificate ke saath semester freeze le sakte hain
1700,RomanUrdu,Male,Personal/Family Issues,Hostel band ho gaya aur transport ka issue hai,Semester pause kar sakte hain jab tak facility arrange na ho
1701,RomanUrdu,Neutral,Administrative Issues,"Lab aur lecture same time hai, attend nahi kar pa raha",Semester freeze consider karein jab tak schedule fix na ho
1702,Mixed,Neutral,Academic Issues,DSA is too hard for me and I need a break to improve basics. Is liye semester freeze request kar raha/rahi hoon,Semester freeze recommend kiya jata hai taake aap basics strong kar sakein. Advisor ne recommend kiya hai semester freeze lene ke liye
1703,English,Neutral,Personal/Family Issues,Family pressure hai ke main degree chor doon,Advisor se discuss karein aur semester freeze consider karein
1704,RomanUrdu,Neutral,Financial Issues,Abbu ki job chali gayi hai is liye semester freeze chahiye,Temporary semester freeze allow ki ja sakti hai financial crisis ke liye
1705,Mixed,Female,Personal/Family Issues,Family migration ki wajah se semester pause karna hai. Is liye semester freeze request kar raha/rahi hoon,Semester freeze allow hoti hai relocation ya migration case me. Advisor ne recommend kiya hai semester freeze lene ke liye
1706,English,Neutral,Personal/Family Issues,Mother bohat sick hain aur unka khayal rakhna hai,Semester freeze request karein taake aap family care kar sakein
1707,Mixed,Female,Gender/Role Specific,Safety issues ki wajah se campus travel possible nahi. Is liye semester freeze request kar raha/rahi hoon,Temporary semester freeze request karein safety ke liye. Advisor ne recommend kiya hai semester freeze lene ke liye
1708,English,Neutral,Gender/Role Specific,Family business sambhalna par raha hai temporarily,Semester freeze le kar aap responsibilities manage kar sakte hain
1709,Mixed,Neutral,Mental Health,Depression ki wajah se classes miss ho rahi hain. Is liye semester freeze request kar raha/rahi hoon,Advisor ke saath discuss karein aur semester freeze lein. Advisor ne recommend kiya hai semester freeze lene ke liye
1710,English,Male,Local/Other Issues,Competitive coaching ke liye semester pause karna zaroori hai,Semester freeze allow hoti hai professional training ke liye
1711,Mixed,Neutral,Financial Issues,I lost my scholarship and cannot afford this semester. Is liye semester freeze request kar raha/rahi hoon,Financial support ke liye advisor ya office se discuss karein. Advisor ne recommend kiya hai semester freeze lene ke liye
1712,RomanUrdu,Female,Administrative Issues,Timetable clash hai aur meri classes manage nahi ho rahi,Semester freeze request kar sakte hain jab timetable adjust ho
1713,Mixed,Female,Gender/Role Specific,Childcare ki wajah se classes attend nahi ho pa rahi. Is liye semester freeze request kar raha/rahi hoon,Semester freeze request karein childcare ke liye. Advisor ne recommend kiya hai semester freeze lene ke liye
1714,English,Male,Financial Issues,I lost my scholarship and cannot afford this semester,Financial support ke liye advisor ya office se discuss karein
1715,English,Male,Administrative Issues,"Lab aur lecture same time hai, attend nahi kar pa raha",Semester freeze consider karein jab tak schedule fix na ho
1716,Mixed,Neutral,Gender/Role Specific,Father hospital mein hain aur mujhe ghar sambhalna hai. Is liye semester freeze request kar raha/rahi hoon,Semester pause allow hoti hai family care ke liye. Advisor ne recommend kiya hai semester freeze lene ke liye
1717,English,Neutral,Gender/Role Specific,Family business sambhalna par raha hai temporarily,Semester freeze le kar aap responsibilities manage kar sakte hain
1718,English,Male,Academic Issues,DSA is too hard for me and I need a break to improve basics,Semester freeze recommend kiya jata hai taake aap basics strong kar sakein
1719,Mixed,Female,Medical Issues,Medical condition ki wajah se campus ana possible nahi. Is liye semester freeze request kar raha/rahi hoon,Semester freeze submit karen taake aap recovery pe focus karein. Advisor ne recommend kiya hai semester freeze lene ke liye
1720,RomanUrdu,Male,Local/Other Issues,Competitive coaching ke liye semester pause karna zaroori hai,Semester freeze allow hoti hai professional training ke liye
1721,English,Male,Academic Issues,DSA is too hard for me and I need a break to improve basics,Semester freeze recommend kiya jata hai taake aap basics strong kar sakein
1722,English,Male,Gender/Role Specific,Male breadwinner responsibility hai is liye break chahiye,Semester freeze le kar aap family support kar sakte hain
1723,English,Neutral,Gender/Role Specific,Pregnancy ki wajah se semester continue nahi kar sakti,Semester freeze allow hoti hai maternity reasons me
1724,RomanUrdu,Neutral,Academic Issues,Credit hours overload ho gaye hain aur handle nahi ho raha,Semester freeze le kar workload manage karein
1725,English,Female,Administrative Issues,Mujhe 4pm ke baad class attend karna possible nahi,Semester freeze allow ki ja sakti hai timing issues me
1726,Mixed,Female,Mental Health,Stress ki wajah se exams par focus nahi ho raha. Is liye semester freeze request kar raha/rahi hoon,Semester freeze allow hoti hai stress aur burnout ke cases me. Advisor ne recommend kiya hai semester freeze lene ke liye
1727,RomanUrdu,Female,Administrative Issues,Mujhe 4pm ke baad class attend karna possible nahi,Semester freeze allow ki ja sakti hai timing issues me
1728,RomanUrdu,Neutral,Academic Issues,Credit hours overload ho gaye hain aur handle nahi ho raha,Semester freeze le kar workload manage karein
1729,Mixed,Neutral,Medical Issues,Accident hua hai aur physiotherapy chal rahi hai. Is liye semester freeze request kar raha/rahi hoon,Recovery ke liye semester freeze recommended hai. Advisor ne recommend kiya hai semester freeze lene ke liye
1730,Mixed,Female,Medical Issues,Chronic pain ki wajah se classes attend nahi ho rahi. Is liye semester freeze request kar raha/rahi hoon,Medical certificate submit karein aur semester freeze request karein. Advisor ne recommend kiya hai semester freeze lene ke liye
1731,English,Male,Personal/Family Issues,Mother bohat sick hain aur unka khayal rakhna hai,Semester freeze request karein taake aap family care kar sakein
1732,Mixed,Neutral,Medical Issues,Major illness ke wajah se semester continue nahi kar sakta. Is liye semester freeze request kar raha/rahi hoon,Semester freeze allow ki ja sakti hai illness ke liye. Advisor ne recommend kiya hai semester freeze lene ke liye
1733,English,Neutral,Mental Health,Mentally bohat exhausted feel kar raha hoon,Mental health ke liye temporary semester freeze consider karein
1734,RomanUrdu,Female,Administrative Issues,Teacher change request process clear nahi hai,Advisor se guide lein aur semester pause consider karein
1735,RomanUrdu,Female,Personal/Family Issues,Ghar walay business sambhalne ko keh rahe hain,Temporary semester freeze le kar responsibilities manage karein
1736,Mixed,Male,Medical Issues,Accident hua hai aur physiotherapy chal rahi hai. Is liye semester freeze request kar raha/rahi hoon,Recovery ke liye semester freeze recommended hai. Advisor ne recommend kiya hai semester freeze lene ke liye
1737,RomanUrdu,Male,Personal/Family Issues,Ghar walay business sambhalne ko keh rahe hain,Temporary semester freeze le kar responsibilities manage karein
1738,English,Neutral,Local/Other Issues,Floods damaged roads and internet is not working,Semester freeze allow ki ja sakti hai disaster situations me
1739,RomanUrdu,Male,Medical Issues,I had surgery and doctor ne complete rest kaha hai,Doctor certificate ke saath semester freeze le sakte hain
1740,English,Neutral,Mental Health,Depression ki wajah se classes miss ho rahi hain,Advisor ke saath discuss karein aur semester freeze lein
1741,RomanUrdu,Female,Financial Issues,Main temporary full time job kar raha hoon to support family,Semester freeze le kar aap work aur studies dono manage kar sakte hain
1742,English,Male,Financial Issues,Fees installment allow nahi ki ja rahi hai university policy ke wajah se,Office se discuss karein aur special request submit karein
1743,RomanUrdu,Neutral,Administrative Issues,Timetable clash hai aur meri classes manage nahi ho rahi,Semester freeze request kar sakte hain jab timetable adjust ho
1744,English,Neutral,Medical Issues,Accident hua hai aur physiotherapy chal rahi hai,Recovery ke liye semester freeze recommended hai
1745,RomanUrdu,Neutral,Administrative Issues,"Lab aur lecture same time hai, attend nahi kar pa raha",Semester freeze consider karein jab tak schedule fix na ho
1746,English,Female,Mental Health,Anxiety attacks ki wajah se studies disturb ho rahi hain,Semester freeze le kar mental health improve karein
1747,English,Neutral,Medical Issues,I had surgery and doctor ne complete rest kaha hai,Doctor certificate ke saath semester freeze le sakte hain
1748,RomanUrdu,Female,Administrative Issues,Semester freeze policy properly samajh nahi aa rahi,Office se clarify karein aur request submit karein
1749,Mixed,Female,Academic Issues,I dropped many courses and now I am confused what to enroll next. Is liye semester freeze request kar raha/rahi hoon,Academic advisor se consult karein aur proper enrollment plan banayein. Advisor ne recommend kiya hai semester freeze lene ke liye
1750,English,Male,Medical Issues,Chronic pain ki wajah se classes attend nahi ho rahi,Medical certificate submit karein aur semester freeze request karein
1751,Mixed,Female,Personal/Family Issues,Meri shaadi fix ho gayi hai aur relocation ho rahi hai. Is liye semester freeze request kar raha/rahi hoon,Semester freeze allow hoti hai relocation ya marriage ki wajah se. Advisor ne recommend kiya hai semester freeze lene ke liye
1752,RomanUrdu,Neutral,Financial Issues,My fee is unpaid and family income suddenly stopped,Aapko fee installment request submit karni chahiye ya temporary semester freeze le sakte hain
1753,Mixed,Female,Personal/Family Issues,Hostel band ho gaya aur transport ka issue hai. Is liye semester freeze request kar raha/rahi hoon,Semester pause kar sakte hain jab tak facility arrange na ho. Advisor ne recommend kiya hai semester freeze lene ke liye
1754,Mixed,Neutral,Financial Issues,My fee is unpaid and family income suddenly stopped. Is liye semester freeze request kar raha/rahi hoon,Aapko fee installment request submit karni chahiye ya temporary semester freeze le sakte hain. Advisor ne recommend kiya hai semester freeze lene ke liye
1755,English,Female,Academic Issues,Basics weak hain is liye advanced courses tough lag rahe hain,Foundation courses complete karne ke baad advance courses enroll karein
1756,RomanUrdu,Neutral,Local/Other Issues,Lab resource unavailable hai is liye semester freeze request kar raha/rahi hoon,Semester pause consider karein jab tak resources available na ho
1757,Mixed,Neutral,Gender/Role Specific,Pregnancy ki wajah se semester continue nahi kar sakti. Is liye semester freeze request kar raha/rahi hoon,Semester freeze allow hoti hai maternity reasons me. Advisor ne recommend kiya hai semester freeze lene ke liye
1758,English,Male,Local/Other Issues,Floods damaged roads and internet is not working,Semester freeze allow ki ja sakti hai disaster situations me
1759,RomanUrdu,Male,Mental Health,Severe burnout ho gaya hai aur focus nahi ban raha,Semester pause karna aapke liye beneficial hoga
1760,English,Neutral,Local/Other Issues,Power outages aur internet disruption ke wajah se classes miss ho rahi hain,Semester pause request submit karein taake classes miss na ho
1761,English,Neutral,Personal/Family Issues,Family migration ki wajah se semester pause karna hai,Semester freeze allow hoti hai relocation ya migration case me
1762,Mixed,Male,Gender/Role Specific,Safety issues ki wajah se campus travel possible nahi. Is liye semester freeze request kar raha/rahi hoon,Temporary semester freeze request karein safety ke liye. Advisor ne recommend kiya hai semester freeze lene ke liye
1763,RomanUrdu,Female,Academic Issues,Credit hours overload ho gaye hain aur handle nahi ho raha,Semester freeze le kar workload manage karein
1764,Mixed,Neutral,Personal/Family Issues,Meri shaadi fix ho gayi hai aur relocation ho rahi hai. Is liye semester freeze request kar raha/rahi hoon,Semester freeze allow hoti hai relocation ya marriage ki wajah se. Advisor ne recommend kiya hai semester freeze lene ke liye
1765,RomanUrdu,Female,Administrative Issues,"Lab aur lecture same time hai, attend nahi kar pa raha",Semester freeze consider karein jab tak schedule fix na ho
1766,English,Male,Gender/Role Specific,Male breadwinner responsibility hai is liye break chahiye,Semester freeze le kar aap family support kar sakte hain
1767,Mixed,Male,Personal/Family Issues,Family migration ki wajah se semester pause karna hai. Is liye semester freeze request kar raha/rahi hoon,Semester freeze allow hoti hai relocation ya migration case me. Advisor ne recommend kiya hai semester freeze lene ke liye
1768,Mixed,Male,Gender/Role Specific,Pregnancy ki wajah se semester continue nahi kar sakti. Is liye semester freeze request kar raha/rahi hoon,Semester freeze allow hoti hai maternity reasons me. Advisor ne recommend kiya hai semester freeze lene ke liye
1769,Mixed,Female,Personal/Family Issues,Mother bohat sick hain aur unka khayal rakhna hai. Is liye semester freeze request kar raha/rahi hoon,Semester freeze request karein taake aap family care kar sakein. Advisor ne recommend kiya hai semester freeze lene ke liye
1770,Mixed,Male,Academic Issues,I failed PF and OOP both and I need time to prepare again. Is liye semester freeze request kar raha/rahi hoon,Aap semester freeze le sakte hain aur next semester me core subjects dobara enroll karein. Advisor ne recommend kiya hai semester freeze lene ke liye
1771,Mixed,Neutral,Local/Other Issues,Competitive coaching ke liye semester pause karna zaroori hai. Is liye semester freeze request kar raha/rahi hoon,Semester freeze allow hoti hai professional training ke liye. Advisor ne recommend kiya hai semester freeze lene ke liye
1772,RomanUrdu,Neutral,Local/Other Issues,Competitive coaching ke liye semester pause karna zaroori hai,Semester freeze allow hoti hai professional training ke liye
1773,Mixed,Male,Academic Issues,"CGPA below average hai, degree complete ho payegi ya nahi samajh nahi aa raha. Is liye semester freeze request kar raha/rahi hoon",Semester freeze ke dauran CGPA improve karne ka plan banayein. Advisor ne recommend kiya hai semester freeze lene ke liye
1774,RomanUrdu,Neutral,Academic Issues,I failed PF and OOP both and I need time to prepare again,Aap semester freeze le sakte hain aur next semester me core subjects dobara enroll karein
1775,Mixed,Male,Local/Other Issues,Transport strike ke wajah se classes attend nahi ho rahi. Is liye semester freeze request kar raha/rahi hoon,Semester freeze request karein jab tak transport restore na ho. Advisor ne recommend kiya hai semester freeze lene ke liye
1776,RomanUrdu,Female,Financial Issues,Late fee fine lag gaya hai aur arrange nahi ho raha,Late fine waiver ya installment ke liye office se contact karein
1777,Mixed,Female,Medical Issues,Major illness ke wajah se semester continue nahi kar sakta. Is liye semester freeze request kar raha/rahi hoon,Semester freeze allow ki ja sakti hai illness ke liye. Advisor ne recommend kiya hai semester freeze lene ke liye
1778,English,Female,Gender/Role Specific,Male breadwinner responsibility hai is liye break chahiye,Semester freeze le kar aap family support kar sakte hain
1779,RomanUrdu,Female,Academic Issues,DSA is too hard for me and I need a break to improve basics,Semester freeze recommend kiya jata hai taake aap basics strong kar sakein
1780,RomanUrdu,Male,Personal/Family Issues,Family pressure hai ke main degree chor doon,Advisor se discuss karein aur semester freeze consider karein
1781,English,Male,Mental Health,Stress ki wajah se exams par focus nahi ho raha,Semester freeze allow hoti hai stress aur burnout ke cases me
